1; 1; 1; 33666
1; 1; 2; 31661
1; 1; 3; 4852
1; 1; 4; 4631
1; 1; 5; 5053
1; 1; 6; 4815
1; 1; 7; 32560
1; 1; 8; 24306
1; 1; 9; 7355
1; 1; 10; 7359
1; 1; 11; 7357
1; 1; 12; 7372
1; 1; 13; 1335
1; 1; 14; 8497
1; 1; 15; 1332
1; 1; 16; 31156
1; 1; 17; 30825
1; 1; 18; 2516
1; 1; 19; 5036
1; 1; 20; 1268
1; 1; 21; 8331
1; 1; 22; 1269
1; 1; 23; 18009
1; 1; 24; 22771
1; 1; 25; 29839
1; 1; 26; 205
1; 1; 27; 32864
1; 1; 28; 1255
1; 1; 29; 26190
1; 1; 30; 28007
1; 1; 31; 1247
1; 1; 32; 24705
1; 1; 33; 1246
1; 1; 34; 1084
1; 1; 35; 1638
1; 1; 36; 32079
1; 1; 37; 2241
1; 1; 38; 2483
1; 1; 39; 29975
1; 1; 40; 8971
1; 1; 41; 21094
1; 1; 42; 23391
1; 1; 43; 1007
1; 1; 44; 31507
1; 1; 45; 141
1; 1; 46; 571
1; 1; 47; 550
1; 1; 48; 584
1; 1; 49; 23110
1; 1; 50; 26046
1; 1; 51; 32735
1; 1; 52; 7477
1; 1; 53; 34646
1; 1; 54; 34650
1; 1; 55; 23726
1; 1; 56; 572
1; 1; 57; 15674
1; 1; 58; 4881
1; 1; 59; 927
1; 1; 60; 33226
1; 1; 61; 33306
1; 1; 62; 0
1; 1; 63; 4734
1; 1; 64; 2188
1; 1; 65; 2191
1; 1; 66; 7706
1; 1; 67; 28546
1; 1; 68; 6094
1; 1; 69; 865
1; 1; 70; 33318
1; 1; 71; 27932
1; 1; 72; 22341
1; 1; 73; 16472
1; 1; 74; 945
1; 1; 75; 27934
1; 1; 76; 3329
1; 1; 77; 32245
1; 1; 78; 33
1; 1; 79; 31750
1; 1; 80; 23590
1; 1; 81; 25543
1; 1; 82; 1605
1; 1; 83; 14927
1; 1; 84; 33951
1; 1; 85; 27561
1; 1; 86; 30440
1; 1; 87; 34343
